index,121,124,127,130,133,136,139,142,145,148,148,152,157,160,163,178,181,184,187,190,196,193,199,202,205,208,211,214,217,220
index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,8:47:42  1.11.2023,8:53:41  1.11.2023,8:59:37  1.11.2023,9:08:20  1.11.2023,9:14:56  1.11.2023,9:21:09  1.11.2023,9:27:20  1.11.2023,9:33:25  1.11.2023,9:39:27  1.11.2023,9:46:15  1.11.2023,9:46:15  1.11.2023,9:56:19  1.11.2023,10:06:21  1.11.2023,10:12:46  1.11.2023,10:19:14  1.11.2023,15:41:25  1.11.2023,15:50:13  1.11.2023,15:57:03  1.11.2023,16:03:42  1.11.2023,16:10:10  1.11.2023,16:24:43  1.11.2023,16:16:44  1.11.2023,16:30:28  1.11.2023,16:36:47  1.11.2023,16:44:32  1.11.2023,16:51:19  1.11.2023,16:57:56  1.11.2023,17:04:23  1.11.2023,17:10:56  1.11.2023,17:17:26  1.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
11,269,289,289,299,299,309,299,299,309,299,299,299,289,299,289,296,329,338,348,348,358,358,358,358,358,368,358,347,347,351
21,2143,2223,2233,2652,2841,2801,2971,3010,3010,3260,3260,2961,3449,3449,3509,1899,2083,2093,2422,2422,2392,2352,2352,2323,2313,2402,2243,1631,1736,1538
31,2223,2283,2303,2761,2921,2891,3070,3120,3130,3379,3379,3110,3589,3589,3639,1956,2133,2173,2512,2452,2452,2442,2372,2372,2362,2462,2313,1698,1781,1576
41,2243,2332,2313,2811,2931,2961,3130,3160,3160,3429,3429,3160,3609,3629,3668,1985,2153,2203,2542,2442,2502,2432,2382,2402,2372,2462,2273,1701,1797,1573
51,2273,2372,2382,2851,2991,2961,3130,3200,3180,3449,3449,3190,3678,3639,3698,1988,2193,2173,2542,2542,2502,2492,2452,2432,2362,2492,2293,1688,1777,1586
61,2293,2382,2392,2841,3000,3000,3180,3210,3220,3489,3489,3210,3688,3668,3718,2010,2213,2243,2572,2492,2532,2462,2482,2432,2382,2472,2283,1691,1813,1576
71,2352,2422,2412,2921,3050,3070,3190,3270,3250,3509,3509,3250,3718,3708,3738,1998,2243,2213,2592,2542,2552,2462,2432,2442,2382,2502,2342,1694,1797,1592
81,2362,2442,2442,2941,3130,3080,3230,3270,3290,3589,3589,3290,3768,3738,3788,2055,2233,2243,2582,2552,2572,2512,2452,2452,2412,2482,2313,1694,1793,1573
91,2372,2472,2472,2951,3150,3090,3280,3320,3310,3569,3569,3310,3768,3738,3818,2049,2253,2293,2622,2562,2562,2502,2442,2472,2412,2492,2362,1694,1771,1573
101,2392,2482,2492,3000,3140,3130,3300,3359,3369,3599,3599,3320,3798,3828,3848,2074,2263,2303,2622,2592,2602,2512,2442,2462,2402,2482,2323,1688,1790,1580
111,2432,2532,2532,3010,3200,3180,3339,3379,3369,3629,3629,3359,3848,3818,3878,2074,2323,2303,2652,2592,2622,2502,2462,2502,2412,2522,2352,1691,1768,1592
121,2432,2542,2562,3060,3180,3210,3339,3409,3419,3678,3678,3399,3848,3848,3888,2074,2273,2323,2671,2622,2612,2532,2492,2522,2392,2502,2362,1688,1813,1596
131,2472,2562,2572,3080,3240,3220,3399,3429,3429,3688,3688,3399,3858,3858,3918,2100,2332,2342,2661,2592,2652,2572,2482,2512,2412,2482,2362,1698,1797,1576
141,2492,2562,2602,3110,3290,3270,3439,3439,3459,3708,3708,3489,3908,3908,3928,2125,2332,2352,2691,2632,2661,2562,2512,2512,2422,2552,2323,1717,1813,1583
