index,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,62,65,68,71,74,77,80,83,86,89,92,95,98,101,104
index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,21:20:59  1.11.2023,21:26:28  1.11.2023,21:31:56  1.11.2023,21:37:00  1.11.2023,21:42:38  1.11.2023,21:47:31  1.11.2023,21:52:05  1.11.2023,21:57:27  1.11.2023,22:03:48  1.11.2023,22:12:28  1.11.2023,22:17:35  1.11.2023,22:23:24  1.11.2023,22:29:09  1.11.2023,22:34:16  1.11.2023,22:39:45  1.11.2023,7:44:37  2.11.2023,7:50:55  2.11.2023,7:55:44  2.11.2023,8:00:35  2.11.2023,8:05:32  2.11.2023,8:10:29  2.11.2023,8:15:40  2.11.2023,8:20:52  2.11.2023,8:25:50  2.11.2023,8:31:03  2.11.2023,8:36:44  2.11.2023,8:41:32  2.11.2023,8:46:27  2.11.2023,8:51:22  2.11.2023,8:55:52  2.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
11,299,309,309,309,309,319,309,309,309,280,287,287,287,290,290,279,289,289,299,299,309,309,299,309,290,296,296,293,292,293
21,2163,2133,2163,2263,2283,2243,2103,2073,2013,1934,1963,1883,1018,1002,916,4267,4426,4426,3888,4047,3868,2861,2771,2711,1532,1637,1461,490,497,470
31,2233,2223,2193,2372,2323,2313,2143,2083,2053,2023,2017,1947,1027,1046,963,4396,4596,4576,3968,4167,4017,2911,2851,2801,1605,1669,1516,518,519,493
41,2263,2203,2193,2332,2352,2342,2153,2143,2093,2017,2039,1966,1027,1018,932,4466,4646,4665,4047,4217,4067,2951,2851,2801,1599,1682,1481,509,517,474
51,2263,2243,2233,2372,2362,2372,2173,2133,2123,2010,2036,1940,992,1053,944,4506,4685,4705,4057,4267,4077,3000,2871,2891,1592,1720,1516,504,505,469
61,2293,2253,2243,2432,2402,2372,2163,2193,2123,2026,2030,2010,1027,1018,954,4556,4745,4745,4057,4297,4157,2991,2931,2861,1627,1672,1513,515,517,486
71,2313,2293,2253,2422,2382,2392,2213,2143,2133,2007,2058,1950,1021,1037,948,4626,4755,4785,4127,4297,4147,3020,2911,2891,1602,1691,1497,521,521,470
81,2323,2273,2253,2432,2422,2412,2203,2153,2133,2046,2055,1953,1037,1059,970,4655,4845,4825,4167,4336,4187,3030,2971,2951,1599,1723,1525,513,525,473
91,2342,2293,2313,2432,2412,2442,2193,2203,2143,2052,2042,1966,999,1024,951,4685,4895,4895,4187,4366,4207,3070,2951,2931,1621,1726,1493,512,512,482
101,2342,2332,2313,2472,2422,2472,2273,2203,2163,2036,2062,1959,1053,1072,967,4755,4945,4955,4217,4416,4227,3110,2971,2921,1624,1710,1535,513,519,472
111,2372,2323,2323,2502,2462,2452,2243,2193,2163,2023,2071,2004,1037,1069,941,4795,4965,4965,4257,4426,4277,3130,3000,2981,1627,1714,1516,513,518,481
121,2372,2362,2362,2502,2502,2492,2293,2233,2173,2042,2052,1950,1011,1031,967,4815,5024,5004,4257,4486,4326,3140,3000,2991,1599,1714,1541,515,530,483
131,2392,2382,2342,2502,2512,2502,2273,2233,2153,2049,2071,1982,1043,1062,922,4865,5064,5084,4297,4516,4346,3150,3020,3010,1634,1746,1532,512,530,477
141,2422,2372,2362,2482,2512,2512,2243,2233,2213,2042,2052,1995,1034,1031,963,4905,5114,5084,4317,4506,4356,3150,3030,3060,1618,1749,1560,517,494,487
151,2462,2382,2342,2562,2542,2552,2313,2243,2243,2030,2100,1988,1024,1059,963,4955,5144,5184,4376,4556,4406,3210,3060,3070,1640,1755,1551,517,532,470
161,2482,2422,2382,2552,2522,2532,2303,2263,2223,2062,2087,2001,1021,1043,963,4985,5234,5244,4406,4606,4406,3240,3080,3090,1650,1739,1551,519,520,470
171,2492,2442,2422,2592,2562,2552,2303,2263,2233,2042,2087,1972,1053,1056,948,5044,5254,5224,4436,4636,4466,3230,3090,3120,1631,1761,1548,503,504,488
181,2482,2442,2442,2562,2562,2592,2323,2273,2233,2065,2084,1991,1050,1053,983,5064,5294,5304,4476,4665,4496,3230,3110,3120,1643,1739,1548,511,517,482
191,2532,2452,2452,2612,2562,2592,2342,2303,2223,2093,2065,1998,1015,1040,954,5124,5353,5343,4496,4715,4506,3260,3150,3160,1659,1746,1548,529,527,488
201,2532,2482,2422,2592,2612,2622,2313,2273,2253,2071,2097,2014,1040,1034,963,5154,5363,5393,4546,4725,4536,3280,3130,3130,1637,1755,1554,523,520,477
211,2532,2482,2452,2632,2612,2652,2332,2293,2243,2058,2103,2004,1050,1056,951,5224,5413,5443,4556,4775,4606,3290,3170,3180,1666,1755,1548,530,533,480
221,2552,2512,2472,2642,2632,2622,2362,2313,2283,2055,2113,1998,1027,1059,979,5264,5463,5463,4586,4785,4596,3320,3180,3170,1643,1755,1538,511,512,484
231,2562,2502,2492,2661,2622,2681,2392,2313,2283,2093,2087,2030,1002,1050,954,5284,5503,5503,4626,4815,4606,3339,3200,3220,1656,1761,1564,527,530,476
241,2582,2542,2492,2671,2642,2671,2352,2313,2303,2068,2103,2014,1059,1059,967,5343,5523,5563,4646,4865,4655,3379,3240,3240,1640,1742,1538,513,528,479
251,2622,2532,2522,2652,2652,2701,2382,2332,2313,2068,2097,2033,1053,1069,973,5383,5623,5633,4665,4875,4685,3369,3230,3250,1634,1771,1567,527,527,496
261,2602,2552,2532,2691,2681,2721,2392,2323,2303,2074,2122,2010,1015,1046,941,5443,5643,5682,4705,4915,4705,3379,3260,3270,1659,1793,1567,511,528,474
271,2642,2582,2552,2691,2691,2731,2422,2342,2313,2087,2129,2004,1053,1059,967,5463,5692,5712,4715,4935,4755,3419,3280,3310,1682,1774,1548,525,527,491
281,2632,2572,2562,2721,2701,2731,2422,2372,2303,2052,2119,2039,1024,1075,957,5483,5752,5732,4795,5004,4785,3429,3280,3310,1669,1774,1535,521,530,477
291,2671,2612,2612,2751,2701,2741,2412,2372,2332,2106,2113,2007,1037,1040,967,5523,5782,5792,4795,4994,4815,3429,3250,3349,1656,1787,1592,507,524,493
301,2652,2612,2572,2761,2751,2781,2422,2382,2313,2068,2122,2026,1040,1075,954,5593,5852,5862,4795,5044,4805,3429,3310,3349,1647,1790,1557,528,516,494
311,2721,2602,2592,2761,2731,2771,2422,2362,2332,2090,2138,2014,1034,1046,960,5613,5872,5912,4845,5044,4885,3509,3329,3359,1647,1758,1605,515,526,488
321,2701,2622,2602,2791,2771,2771,2432,2392,2342,2100,2100,2026,1031,1059,970,5652,5892,5972,4845,5094,4885,3499,3320,3369,1659,1809,1541,516,531,480
331,2731,2652,2622,2791,2781,2811,2462,2392,2382,2084,2125,2039,1027,1072,967,5692,5982,5982,4895,5134,4925,3489,3349,3399,1659,1787,1567,525,521,486
341,2741,2671,2642,2801,2781,2841,2462,2412,2382,2122,2125,2010,1031,1056,963,5762,5962,6041,4925,5134,4945,3509,3369,3429,1666,1793,1605,533,523,482
