index,23,26,32,29,35,38,41,44,47,50,53,56,59,62,65
index,,,,,,,,,,,,,,,
time,20:04:23  2.11.2023,20:10:38  2.11.2023,20:23:07  2.11.2023,20:16:22  2.11.2023,20:31:14  2.11.2023,20:37:38  2.11.2023,20:44:21  2.11.2023,20:51:37  2.11.2023,20:58:14  2.11.2023,21:05:45  2.11.2023,21:11:28  2.11.2023,21:17:49  2.11.2023,21:24:44  2.11.2023,21:31:33  2.11.2023,21:38:31  2.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
11,422,422,422,368,358,358,358,368,358,344,347,347,339,340,338
21,6112,6469,6567,5144,5044,5064,3459,3060,3579,1206,1276,1110,506,470,468
31,6307,6697,6794,5323,5214,5214,3609,3160,3668,1254,1315,1171,500,477,474
41,6404,6794,6859,5383,5304,5274,3609,3190,3718,1241,1331,1136,497,473,459
51,6437,6859,6924,5413,5314,5314,3649,3200,3748,1248,1324,1181,504,475,469
61,6502,6892,7022,5453,5373,5333,3658,3220,3758,1251,1347,1136,498,458,463
71,6567,6924,7054,5503,5413,5373,3688,3250,3758,1260,1321,1168,503,472,478
81,6599,7022,7119,5543,5423,5433,3728,3290,3838,1264,1353,1181,515,475,466
91,6664,7087,7217,5563,5463,5433,3738,3280,3818,1276,1353,1165,511,470,463
101,6729,7119,7249,5573,5473,5483,3738,3300,3848,1264,1353,1165,505,476,468
111,6762,7184,7314,5662,5513,5523,3768,3349,3888,1279,1362,1197,499,497,475
121,6827,7249,7379,5682,5583,5583,3778,3359,3888,1273,1366,1161,493,475,491
131,6892,7314,7477,5702,5593,5563,3808,3320,3898,1289,1347,1177,507,487,478
141,6957,7347,7542,5732,5623,5593,3838,3419,3938,1273,1407,1184,517,483,476
151,6957,7412,7607,5782,5652,5613,3878,3379,3938,1295,1350,1197,503,502,482
161,7022,7510,7607,5772,5692,5672,3858,3409,3948,1286,1398,1181,505,458,472
171,7087,7575,7705,5842,5742,5692,3898,3399,4007,1302,1391,1177,494,491,470
181,7184,7607,7802,5862,5762,5722,3898,3429,4027,1295,1382,1206,499,491,469
191,7249,7672,7802,5902,5772,5772,3968,3449,4037,1289,1410,1181,510,481,481
201,7314,7705,7900,5942,5852,5802,3948,3459,4057,1299,1414,1216,510,488,478
211,7314,7770,7965,5932,5852,5812,3978,3509,4047,1324,1385,1197,513,490,466
221,7379,7867,8030,5972,5882,5862,3997,3499,4057,1286,1407,1219,523,455,473
231,7445,7900,8062,6021,5922,5902,3968,3549,4127,1283,1423,1216,525,477,478
241,7510,7932,8095,6071,5952,5892,4027,3529,4107,1321,1426,1184,492,477,479
251,7575,8030,8192,6081,5972,5952,4057,3549,4167,1334,1410,1212,508,488,485
261,7640,8095,8290,6111,6011,5962,4067,3559,4127,1331,1445,1206,504,488,479
271,7640,8127,8322,6141,6011,6001,4077,3569,4207,1321,1442,1219,511,476,470
281,7705,8160,8355,6171,6071,6011,4077,3609,4187,1331,1404,1200,515,472,476
291,7802,8290,8452,6211,6081,6031,4097,3609,4197,1343,1426,1232,498,492,475
301,7802,8322,8550,6221,6091,6101,4107,3649,4227,1331,1398,1222,508,470,476
311,7867,8355,8615,6281,6161,6101,4147,3609,4237,1337,1423,1238,514,471,469
321,7932,8420,8647,6291,6161,6161,4157,3668,4277,1321,1471,1216,523,483,469
331,7997,8485,8712,6311,6191,6161,4127,3668,4257,1366,1423,1232,512,476,468
341,8030,8550,8810,6350,6241,6191,4197,3688,4297,1343,1439,1228,509,483,475
351,8062,8615,8842,6390,6251,6251,4197,3698,4307,1362,1455,1241,508,502,486
361,8160,8647,8908,6390,6261,6221,4227,3678,4317,1347,1452,1244,519,489,481
371,8192,8680,8940,6430,6301,6281,4207,3708,4366,1353,1445,1244,504,495,468
381,8225,8745,9005,6450,6330,6301,4217,3738,4336,1366,1471,1232,519,490,486
391,8322,8842,9038,6490,6350,6340,4267,3738,4356,1347,1442,1216,518,484,482
401,8355,8908,9168,6510,6400,6360,4267,3748,4396,1362,1452,1260,530,465,468
411,8387,8973,9200,6520,6440,6380,4287,3758,4386,1359,1471,1251,507,488,484
421,8452,8973,9265,6550,6430,6400,4297,3788,4436,1362,1481,1264,510,498,483
431,8485,9038,9298,6580,6470,6430,4317,3768,4446,1362,1468,1260,513,488,479
441,8582,9135,9395,6620,6500,6460,4317,3788,4436,1353,1477,1225,513,485,469
451,8615,9135,9428,6649,6500,6490,4346,3848,4436,1362,1477,1270,513,492,468
461,8647,9200,9460,6659,6540,6500,4366,3828,4466,1372,1484,1257,510,481,482
471,8712,9265,9493,6669,6560,6510,4356,3838,4496,1401,1471,1241,516,487,489
481,8745,9298,9623,6719,6590,6550,4366,3858,4486,1366,1487,1279,513,478,476
491,8810,9363,9623,6739,6620,6540,4386,3858,4496,1372,1481,1254,510,492,468
501,8875,9395,9720,6789,6640,6620,4396,3888,4526,1385,1487,1251,518,501,463
511,8875,9460,9785,6769,6630,6590,4386,3898,4536,1375,1484,1264,519,481,492
521,8940,9493,9818,6819,6669,6649,4426,3888,4536,1398,1513,1264,516,486,482
531,9005,9525,9883,6829,6669,6649,4446,3918,4556,1388,1487,1273,520,492,474
541,9005,9623,9915,6849,6719,6669,4486,3918,4576,1388,1493,1276,515,485,478
551,9103,9655,9948,6879,6759,6699,4466,3898,4576,1375,1522,1286,538,500,498
561,9135,9720,10045,6899,6779,6709,4466,3908,4606,1382,1503,1270,519,482,480
571,9135,9720,10078,6899,6759,6759,4486,3948,4596,1388,1513,1264,514,482,476
581,9233,9850,10175,6929,6809,6769,4496,3918,4626,1407,1500,1270,512,494,479
591,9265,9818,10175,6939,6799,6759,4516,3997,4616,1378,1497,1292,520,481,472
601,9298,9915,10273,6988,6859,6799,4506,3938,4636,1391,1503,1267,518,479,477
611,9363,9948,10273,6979,6889,6809,4536,3988,4646,1404,1525,1279,518,491,475
1021,11216,11996,12484,7886,7756,7676,5004,4406,5104,1452,1608,1350,520,495,477
1121,11411,12224,12711,7966,7856,7766,4985,4446,5154,1452,1605,1347,520,498,493
1221,11541,12386,12874,8015,7886,7836,5064,4466,5214,1461,1602,1343,528,480,490
1321,11736,12549,13069,8105,7995,7896,5074,4476,5234,1452,1611,1353,542,495,491
1421,11866,12711,13231,8205,8085,7966,5104,4556,5244,1465,1634,1347,526,497,493
1521,11964,12841,13329,8245,8135,7985,5144,4546,5294,1461,1599,1337,537,498,483
1621,12094,12971,13459,8324,8175,8025,5144,4566,5304,1481,1611,1337,525,495,493
